"2209.15426","Grigory Volovik","G.E. Volovik","Dimensionless physics: Planck constant as an element of Minkowski metric","11 pages, no figures, version accepted in JETP Letters, arXiv admin
  note: text overlap with arXiv:2207.05754",,"10.1134/S0021364022603013",,"gr-qc cond-mat.other hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Diakonov theory of quantum gravity, in which tetrads emerge as the bilinear
combinations of the fermionis fields,\cite{Diakonov2011} suggests that in
general relativity the metric may have dimension 2, i.e.
$[g_{\mu\nu}]=1/[L]^2$. Several other approaches to quantum gravity, including
the model of superplastic vacuum and $BF$-theories of gravity support this
suggesuion. The important consequence of such metric dimension is that all the
diffeomorphism invariant quantities are dimensionless for any dimension of
spacetime. These include the action $S$, interval $s$, cosmological constant
$\Lambda$, scalar curvature $R$, scalar field $\Phi$, etc. Here we are trying
to further exploit the Diakonov idea, and consider the dimension of the Planck
constant. The application of the Diakonov theory suggests that the Planck
constant $\hbar$ is the parameter of the Minkowski metric. The Minkowski
parameter $\hbar$ is invariant only under Lorentz transformations, and is not
diffeomorphism invariant. As a result the Planck constant $\hbar$ has nonzero
dimension -- the dimension of length [L]. Whether this Planck constant length
is related to the Planck length scale, is an open question. In principle there
can be different Minkowski vacua with their own values of the parameter
$\hbar$. Then in the thermal contact between the two vacua their temperatures
obey the analog of the Tolman law: $\hbar_1/T_1= \hbar_2/T_2$.
","[{""version"":""v1"",""created"":""Fri, 30 Sep 2022 17:40:56 GMT""},{""version"":""v2"",""created"":""Sun, 9 Oct 2022 17:42:20 GMT""},{""version"":""v3"",""created"":""Sun, 27 Nov 2022 15:48:38 GMT""},{""version"":""v4"",""created"":""Sun, 4 Dec 2022 15:01:09 GMT""},{""version"":""v5"",""created"":""Mon, 12 Dec 2022 13:55:29 GMT""},{""version"":""v6"",""created"":""Mon, 26 Dec 2022 15:07:50 GMT""}]","2023-02-15"
"2209.15553","Rajenki Das","Rajenki Das, Mark Muldoon, Mark Lunt, John McBeth, Belay Birlie Yimer
  and Thomas House","Modelling and classifying joint trajectories of self-reported mood and
  pain in a large cohort study",,,,,"stat.AP","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  It is well-known that mood and pain interact with each other, however
individual-level variability in this relationship has been less well quantified
than overall associations between low mood and pain. Here, we leverage the
possibilities presented by mobile health data, in particular the ""Cloudy with a
Chance of Pain"" study, which collected longitudinal data from the residents of
the UK with chronic pain conditions. Participants used an App to record
self-reported measures of factors including mood, pain and sleep quality. The
richness of these data allows us to perform model-based clustering of the data
as a mixture of Markov processes. Through this analysis we discover four
endotypes with distinct patterns of co-evolution of mood and pain over time.
The differences between endotypes are sufficiently large to play a role in
clinical hypothesis generation for personalised treatments of comorbid pain and
low mood.
","[{""version"":""v1"",""created"":""Fri, 30 Sep 2022 16:08:26 GMT""}]","2022-10-03"
"2209.15554","Stefanos Koufidis Mr","Martin W. McCall and Stefanos Fr. Koufidis","Reverse Circular Bragg Phenomenon","14 pages, 6 figures",,,,"physics.optics","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The axial propagation of circularly polarized light in an optically active
structurally chiral medium is exactly solved via full electromagnetic analysis.
Some symmetries of the system's characteristic matrix reveal new insights,
which are confirmed by coupled wave theory. For extreme values of chirality,
now accessible via metamaterials, a reverse circular Bragg resonance arises in
the negative refraction regime where handedness reversal of counterpart modes
occurs. A condition is identified under which optical activity offsets
structural chirality, rendering the medium simply birefringent.
","[{""version"":""v1"",""created"":""Fri, 30 Sep 2022 16:08:33 GMT""}]","2022-10-03"
"2209.15555","Vladimir Li","Vladimir Li and Atsuto Maki","Towards a Unified View of Affinity-Based Knowledge Distillation",,,,,"cs.CV","http://creativecommons.org/licenses/by-nc-nd/4.0/","  Knowledge transfer between artificial neural networks has become an important
topic in deep learning. Among the open questions are what kind of knowledge
needs to be preserved for the transfer, and how it can be effectively achieved.
Several recent work have shown good performance of distillation methods using
relation-based knowledge. These algorithms are extremely attractive in that
they are based on simple inter-sample similarities. Nevertheless, a proper
metric of affinity and use of it in this context is far from well understood.
In this paper, by explicitly modularising knowledge distillation into a
framework of three components, i.e. affinity, normalisation, and loss, we give
a unified treatment of these algorithms as well as study a number of unexplored
combinations of the modules. With this framework we perform extensive
evaluations of numerous distillation objectives for image classification, and
obtain a few useful insights for effective design choices while demonstrating
how relation-based knowledge distillation could achieve comparable performance
to the state of the art in spite of the simplicity.
","[{""version"":""v1"",""created"":""Fri, 30 Sep 2022 16:12:25 GMT""}]","2022-10-03"
"2209.15556","Hamed Pezeshki","Hamed Pezeshki, Pingzhi Li, Reinoud Lavrijsen, Martijn Heck, Erwin
  Bente, Jos van der Tol and Bert Koopmans","Design of an integrated hybrid plasmonic-photonic device for all-optical
  switching and reading of spintronic memory",,,,,"physics.optics physics.app-ph","http://creativecommons.org/publicdomain/zero/1.0/","  We introduce a novel integrated hybrid plasmonic-photonic device for
all-optical switching and reading of nanoscale ferrimagnet bits. The racetrack
memory made of synthetic ferrimagnetic material with a perpendicular magnetic
anisotropy is coupled on to a photonic waveguide onto the indium phosphide
membrane on silicon platform. The device which is composed of a double V-shaped
gold plasmonic nanoantenna coupled with a photonic crystal cavity can enable
switching and reading of the magnetization state in nanoscale magnetic bits by
enhancing the absorbed energy density and polar magneto-optical Kerr effect
(PMOKE) locally beyond the diffraction limit. Using a three-dimensional
finite-difference time-domain method, we numerically show that our device can
switch and read the magnetization state in targeted bits down to ~100 nm in the
presence of oppositely magnetized background regions in the racetrack with
widths of 30 to 120 nm, clearly outperforming a bare photonic waveguide. Our
hybrid device tackles the challenges of nonlinear absorption in the waveguide,
weak PMOKE, and size mismatch between spintronics and integrated photonics.
Thus, it provides missing link between the integrated photonics and nanoscale
spintronics, expediting the development of ultrafast and energy efficient
advanced on-chip applications.
","[{""version"":""v1"",""created"":""Fri, 30 Sep 2022 16:12:27 GMT""}]","2022-10-03"
"2209.15557","Pedro Gomes","Pedro Gomes, Silvia Rossi and Laura Toni","Explaining Hierarchical Features in Dynamic Point Cloud Processing",,,,,"cs.MM","http://creativecommons.org/licenses/by-nc-sa/4.0/","  This paper aims at bringing some light and understanding to the field of deep
learning for dynamic point cloud processing. Specifically, we focus on the
hierarchical features learning aspect, with the ultimate goal of understanding
which features are learned at the different stages of the process and what
their meaning is. Last, we bring clarity on how hierarchical components of the
network affect the learned features and their importance for a successful
learning model. This study is conducted for point cloud prediction tasks,
useful for predicting coding applications.
","[{""version"":""v1"",""created"":""Fri, 30 Sep 2022 16:15:57 GMT""}]","2022-10-03"
"2209.15558","Peter J Liu","Jie Ren, Jiaming Luo, Yao Zhao, Kundan Krishna, Mohammad Saleh, Balaji
  Lakshminarayanan, Peter J. Liu","Out-of-Distribution Detection and Selective Generation for Conditional
  Language Models","Published in ICLR 2023",,,,"cs.CL","http://creativecommons.org/licenses/by/4.0/","  Machine learning algorithms typically assume independent and identically
distributed samples in training and at test time. Much work has shown that
high-performing ML classifiers can degrade significantly and provide
overly-confident, wrong classification predictions, particularly for
out-of-distribution (OOD) inputs. Conditional language models (CLMs) are
predominantly trained to classify the next token in an output sequence, and may
suffer even worse degradation on OOD inputs as the prediction is done
auto-regressively over many steps. Furthermore, the space of potential
low-quality outputs is larger as arbitrary text can be generated and it is
important to know when to trust the generated output. We present a highly
accurate and lightweight OOD detection method for CLMs, and demonstrate its
effectiveness on abstractive summarization and translation. We also show how
our method can be used under the common and realistic setting of distribution
shift for selective generation (analogous to selective prediction for
classification) of high-quality outputs, while automatically abstaining from
low-quality ones, enabling safer deployment of generative language models.
","[{""version"":""v1"",""created"":""Fri, 30 Sep 2022 16:17:11 GMT""},{""version"":""v2"",""created"":""Tue, 7 Mar 2023 22:05:28 GMT""}]","2023-03-09"
"2209.15559","Keshaan Singh Mr","Keshaan Singh, Isaac Nape, Wagner Tavares Buono, Angela Dudley and
  Andrew Forbes","A robust basis for multi-bit optical communication with vectorial light","15 pages, 8 figures",,,,"physics.optics eess.SP","http://creativecommons.org/licenses/by/4.0/","  Increasing the information capacity of communication channels is a pressing
need, driven by growing data demands and the consequent impending data crunch
with existing modulation schemes. In this regard, mode division multiplexing
(MDM), where the spatial modes of light form the encoding basis, has enormous
potential and appeal, but is impeded by modal noise due to imperfect channels.
Here we overcome this challenge by breaking the existing MDM paradigm of using
the modes themselves as a discrete basis, instead exploiting the polarization
inhomogeneity (vectorness) of vectorial light as our information carrier. We
show that this encoding basis can be partitioned and detected almost at will,
and measured in a channel independent fashion, a fact we confirm experimentally
using atmospheric turbulence as a highly perturbing channel example. Our
approach replaces conventional amplitude modulation with a novel modal
alternative for potentially orders of magnitude channel information
enhancement, yet is robust to fading even through noisy channels, offering a
new paradigm to exploiting the spatial mode basis for optical communication.
","[{""version"":""v1"",""created"":""Fri, 30 Sep 2022 16:17:38 GMT""}]","2022-10-03"
"2209.15560","Hari Gupta","Rahul Mishra, Hari Prabhat Gupta","Designing and Training of Lightweight Neural Networks on Edge Devices
  using Early Halting in Knowledge Distillation","13 pages, 7 figures, 11 tables",,,,"cs.LG cs.NE","http://creativecommons.org/licenses/by/4.0/","  Automated feature extraction capability and significant performance of Deep
Neural Networks (DNN) make them suitable for Internet of Things (IoT)
applications. However, deploying DNN on edge devices becomes prohibitive due to
the colossal computation, energy, and storage requirements. This paper presents
a novel approach for designing and training lightweight DNN using large-size
DNN. The approach considers the available storage, processing speed, and
maximum allowable processing time to execute the task on edge devices. We
present a knowledge distillation based training procedure to train the
lightweight DNN to achieve adequate accuracy. During the training of
lightweight DNN, we introduce a novel early halting technique, which preserves
network resources; thus, speedups the training procedure. Finally, we present
the empirically and real-world evaluations to verify the effectiveness of the
proposed approach under different constraints using various edge devices.
","[{""version"":""v1"",""created"":""Fri, 30 Sep 2022 16:18:24 GMT""}]","2022-10-03"
"2209.15561","Peter Kraus","Sylvianne D.C. Roscam Abbing, Filippo Campi, Brian de Keijzer,
  Corentin Morice, Zhuang-Yan Zhang, Maarten L.S. van der Geest, and Peter M.
  Kraus","Efficient extreme-ultraviolet high-order wave mixing from laser-dressed
  silica",,,,,"physics.optics cond-mat.other","http://creativecommons.org/licenses/by/4.0/","  The emission of high-order harmonics from solids
\cite{ghimire11a,schubert14a,luu15a,golde08a} under intense laser-pulse
irradiation is revolutionizing our understanding of strong-field solid-light
interactions
\cite{ghimire11a,schubert14a,luu15a,vampa15b,yoshikawa17a,hafez18a,jurgens20a},
while simultaneously opening avenues towards novel, all-solid, coherent,
short-wavelength table-top sources with tailored emission profiles and
nanoscale light-field control\cite{franz19a,roscamCLEO21}. To date, broadband
spectra have been generated well into the extreme-ultraviolet (XUV)
\cite{luu15a,luu18b,han19a,uzan20a}, but the comparatively low conversion
efficiency still lags behind gas-based high-harmonic generation (HHG) sources
\cite{luu15a,luu18b}, and have hindered wider-spread applications. Here, we
overcome the low conversion efficiency by two-color wave mixing. A quantum
theory reveals that our experiments follow a novel generation mechanism where
the conventional interband and intraband nonlinear dynamics are boosted by
Floquet-Bloch dressed states, that make solid HHG in the XUV more efficient by
at least one order of magnitude. Emission intensity scalings that follow
perturbative optical wave mixing, combined with the angular separation of the
emitted frequencies, make our approach a decisive step for all-solid coherent
XUV sources and for studying light-engineered materials.
","[{""version"":""v1"",""created"":""Fri, 30 Sep 2022 16:19:04 GMT""}]","2022-10-03"
